источники;Sources;来源
операторы;Operators;运营商
векторные;Vectors;向量
субструктуры;Substructures;下部结构
сигналы;Signals;信号
вывод данных;Output of data;数据输出
анализ и оптимизация;Analysis and optimization;分析与优化
функции;Functions;功能
нелинейные;Nonlinear;非线性
интерполяция;Interpolation;插值法
динамические;Dynamic;动态的
ключи;Keys;按键
логические;Logical elements;逻辑要素
триггеры;Triggers;触发器
задержки и импульсы;Delays and impulses;延迟和冲动
конечные автоматы;Finite-state machines;有限状态机
релейные;Relay;中继
дискретные;Discrete;离散的
статистика;Statistics;统计数据
обработка сигналов;Signal Processing;信号处理
кинетика нейтронов;Neutron kinetics;中子动力学
свойства веществ;Properties of substances;物质的性质
распределённые слау;Distributed LAE;分布式LAE
внешние модели;External models;外部型号
обмен данными;Data exchange;数据交换
устройства;Devices;设备
эц - динамика;EC - Dynamics;EC-动力学
эц - статика;EC - Statics;EC-静力学
нечёткая логика;Fuzzy logic;模糊逻辑
технологические блоки tpp;Technological blocks TPP;技术阻碍TPP
контроль параметров tpp;TPP Parameter Control;TPP参数控制
датчики tpp;TPP Sensors;TPP传感器
декоративные элементы tpp;Decorative elements TPP;装饰元素TPP
теплогидравлика;Thermohydraulics;热工水力学
просмотр параметров;View Settings;查看设置
точки контроля;Control Points;控制点
визуализация;Visualization;可视化
маски;Masks;面具
механика;Mechanics;力学
баллистика ка;Ballistics of the spacecraft;航天器的弹道学
динамика ла;Dynamics of aircraft;飞机动力学
электроприводы;Electric drives;电力驱动
гидро и пневмосиситемы;Hydro and pneumatic systems;液压和气动系统
электроника (старая);Electronics (old);电子产品（旧）
электромашины (старая);Electromachines (old);电机（旧）
гидроавтоматика (старая);Hydraulics (old);液压系统（旧）
milandr к1986ве92qi;MILANDR K1986BE92QI;米兰德 K1986BE92QI
часы;Clock;钟
шаг интегрирования;Step of integration;整合步骤
константа;Constant;持续的
линейный источник;Linear source;线性源
ступенька;Step;步
парабола;Parabola;抛物线
полином n-й степени;The nth degree polynomial;n 次多项式
синусоида;Sinewave;正弦波
экспонента;Exhibitor;参展商
гипербола;Hyperbola;双曲线
нормальный шум;Normal noise;正常噪音
равномерный шум;Even noise;噪音均匀
пила;Saw;锯
обратная пила;Back saw;背锯
кусочно линейная;Piecewise linear;分段线性
кусочно постоянная;Piecewise constant;分段常数
треугольный сигнал;Triangular signal;三角信号
меандр;Meander;蜿蜒
циклограмма;Cyclogra;赛克洛格拉
управляемый синусоидальный генератор;Managed Sine Wave Generator;托管正弦波发生器
из файла;From file;从文件
считывание строк из файла;Reading lines from a file;从文件中读取行
таблица данных из файла;Data table from file;文件中的数据表
сумматор;Adder;加法器
сравнивающее устройтсво;Comparison device;比较装置
перемножитель;The multiplier;乘数
делитель;Divider;分频器
усилитель;Amplifier;扩音器
абсолютное значение;Absolute value;绝对值
знак;Sign;符号
интеграл от табличной функции;Integral of the table function;表函数的积分
компенсация начального значения;Initial Value Compensation;初始值补偿
нелинейное уравнение y = f(y);Nonlinear equation y = F (y);非线性方程 y=F(y)
нелинейное уравнение f(y) = 0;Nonlinear equation F (y) = 0;非线性方程F(y)=0
итератор модели;Model iterator;模型迭代器
стоп-расчёт;Stop-calculation;停止计算
линейный преобразователь;Linear Converter;线性转换器
целая часть;The whole part;整个部分
дробная часть;Fraction;分数
округление;Rounding;四舍五入
перевод радиан в градус;Translation of radians into degrees;弧度转换为度数
перевод градусов в радианы;Converting degrees to radians;将度数转换为弧度
мультиплексор;Multiplexer;复用器
демультиплексор;Demultiplexer;解复用器
размножитель;Breeder;饲养员
выборка из вектора;Sample from vector;向量样本
динамическая выборка;Dynamic selection;动态选择
выборка по активному элементу;Selection by Active Element;按活动元素选择
номер активного элемента;Active element number;活性元素数量
векторный усилитель;Vector amplifier;矢量放大器
сложение вектора с число;Addition of a vector with a number;向量与数字的加法
суммирование элементов вектор;Summation of the elements of the vector;向量元素的求和
перемножение элементов вектор;Multiplication of Vector Elements;向量元素的乘法
умножение вектора на числ;Multiplication of a vector by a number;向量乘以数字
деление скаляра на вектор;Division of scalar by vector;标量除以向量
скалярное произведение векторов;Scalar product of vectors;向量的标量积
распаковка матрицы;Unpacking the matrix;拆开矩阵的包装
запаковка матрицы;Matrix packing;矩阵堆积
умножение матрицы на векто;Multiplication of a matrix by a vector;矩阵乘以向量
транспонирование матрицы;Transpose the matrix;转置矩阵
решение слау;The SLAU solution;SLAU解决方案
матричные - обратная матрица;Matrix - Inverse matrix;矩阵 - 逆矩阵
матричные - определитель матрицы;Matrix - Matrix determinant;矩阵 - 矩阵行列式
матричные - умножение матриц;Matrix - Matrix multiplicatio;矩阵 - 矩阵乘法
матричные - транспонирование матрицы произвольной размерности;Matrix - Transpose of a matrix of arbitrary dimension;矩阵 - 任意维度矩阵的转置
матричные - вычисление собственных чисел матрицы;Matrix - Calculating the eigenvalues ​​of a matrix;矩阵 - 计算矩阵的特征值
матричные - след матрицы;Matrix - Matrix trace;矩阵 - 矩阵迹
матричные - поэлементное возведение матрицы в степен;Matrix - Element-by-element matrix construction;矩阵 - 逐个元素的矩阵构造
матричные - объявление матрицы произвольной размерности, значения элеметов которой равны 0;Matrix - Announcement of a matrix of arbitrary dimension, whose element values ​​are 0;Matrix - 公布任意维度的矩阵，其元素值为0
матричные - объявление матрицы произвольной размерности, значения элеметов которой равны 1;Matrix - Announcement of a matrix of arbitrary dimension, the values ​​of the elements of which are equal to 1;矩阵 - 任意维度的矩阵的公告，其元素的值等于 1
матричные - объявление единичной матрицы произвольной размерност;Matrix - Announcement of a unit matrix of arbitrary dimension;矩阵 - 任意维度的单位矩阵的公布
матричные - объявление единичной матрицы произвольной размерности с расположением ненулевых элементов на побочной диагонали;Matrix - Announcement of a unit matrix of arbitrary dimension with the arrangement of non-zero elements on the secondary diagonal;矩阵 - 宣布任意维度的单位矩阵，在次对角线上排列非零元素
матричные - объявление матрицы произвольной размерности c произвольными значениями элементов;Matrix - Announcement of a matrix of arbitrary dimension with arbitrary values ​​of elements;矩阵 - 具有任意元素值的任意维度的矩阵的公告
субмодель;Submodel;子模型
порт входа;Input port;输入端口
порт выхода;Output port;输出端口
в память;In memory;在记忆中
из памяти;From memory;从记忆里
переход на другой лист;Switch to another sheet;切换到另一张纸
переход с другого листа;Switch from another sheet;从另一张纸切换
двунаправленная шина (вход);Bidirectional bus (input);双向总线（输入）
двунаправленная шина (выход);Bidirectional bus (output);双向总线（输出）
уровень неподсоединённых портов;Unconnected Ports;未连接的端口
блок записи свойств;Block of recording properties;记录属性块
указатель сортировки;Sorting Index;排序索引
условие выполнения субмодел;Condition for the execution of the submode;子模式的执行条件
отмена условного выполнения субмодел;Cancel conditional execution of a submodel;取消子模型的条件执行
комментарий;Comment;评论
заметка;Note;笔记
контроль версии модели;Model Version Control;模型版本控制
субмодель трр;Submodel TPP;子型号TPP
порт входа трр;TPP Input Port;TPP 输入端口
порт выхода трр;TPP output port;TPP输出端口
в память трр;In memory of TPP;纪念TPP
из памяти tpp;From TPP memory;来自TPP记忆
переход на другой лист трр;Switch to another TPP sheet;切换到另一张 TPP 板材
переход с другого листа тр;Transition from another TPP sheet;从另一张 TPP 表格过渡
hs - субмодель;HS - Submodel;HS - 子模型
hs - порт входа;HS - Input port;HS——输入端口
hs - порт выхода;HS - Output port;HS——输出端口
hs - лист проекта;HS - Project sheet;HS - 项目表
hs - переход на другой лист;HS - Switch to another sheet;HS - 切换到另一张纸
hs - переход с другого листа;HS - Switch from another sheet;HS - 从另一张纸切换
hs - в память;HS - In Memory;HS--在记忆中
hs - из памяти;HS - From memory;HS--凭记忆
чтение из списка сигналов;Reading from the list of signals;从信号列表中读取
запись в список сигналов;Writing to the alarm list;写入报警列表
вход алгоритма;Log of the algorithm;算法的日志
выход алгоритма;Output of the algorithm;算法的输出
вход алгоритма (векторный);Input of the algorithm (vector);算法的输入（向量）
выход алгоритма (векторный);Output of the algorithm (vector);算法的输出（向量）
входной контакт;Input contact;输入接点
выходной контакт;Output contact;输出接点
датчик;Sensor;传感器
временной график;Graph of time;时间图
фазовый портрет;Phase portrait;相像
график y от x;Graph Y from X;由 X 绘制 Y 图形
трёхмерный график;Three-dimensional graph;三维图
в файл;To file;至文件
вывод изображения с линии связ;Output of the image from the communication line;从通信线路输出图像
оптимизатор;Optimizer;优化器
построение передаточных функци;Construction of transfer function;传递函数的构造
построение частотных характеристи;Constructing frequency characteristics;构建频率特性
годограф михайлова;Hodograph Mikhailova;霍多格拉夫·米哈伊洛娃
гармонический анализатор;Harmonic analyzer;谐波分析仪
линейная функция;Linear function;线性函数
параболическая функция;The parabolic function;抛物线函数
полиноминальная функция;The polynomial function;多项式函数
синусоидальная функция;Sinusoidal function;正弦函数
экспоненциальная функция;Exponential function;指数函数
гиперболическая функция;Hyperbolic function;双曲函数
арксинус;Arcsyns;弧同步器
арккосинус;Arccosine;反余弦
арктангенс;Arctangent;反正切
арккотангенс;Arccotangens;阿克科唐根斯
гиперболический синус;Hyperbolic sine;双曲正弦
гиперболический косинус;Hyperbolic cosine;双曲余弦
гиперболический тангенс;Hyperbolic tangent;双曲正切
гиперболический котангенс;Hyperbolic cotangent;双曲余切
степенная функция;Power function;幂函数
показательная функция;Exponential functio;指数函数
показательная функция с переменной амплитудо;Exponential function with variable amplitude;可变幅度的指数函数
логарифм натуральный;Logarithmic natural;对数自然
логарифм десятичный;The logarithm of a decimal;小数的对数
логарифм натуральный с защитой;Logarithmic natural with protection 0;对数自然带保护0
логарифм десятичный с защитой;Logarithm of decimal with protection 0;带保护 0 的小数对数
корень квадратный;Square root;平方根
арктангенс от двух аргументов;Arctangent from two arguments;两个参数的反正切
синус с косинусом;Sine with cosine;正弦与余弦
линейное с насыщением;Linear with saturatio;与饱和度呈线性关系
линейное с зоной нечувствительности;Linear with dead band;带死区的线性
линейное с насыщением и зоной нечувствительност;Linear with saturation and deadban;具有饱和度和死区的线性
релейное неоднозначное (гистерезис);Relay ambiguous (hysteresis;继电器不明确（迟滞
релейное c зоной нечувствительности;Relay with dead band;带死区的继电器
производная с ограничением;Derivative with restriction;有限制的导数
нижний или верхний предел;Lower or upper limit;下限或上限
минимум по входам;Minimum of entrance;最少入口
минимум по всем элементам вектор;The minimum for all elements of the vector;向量所有元素的最小值
излом;Fracture;断裂
зазор;Gap;差距
люфт;Luft;空气
квантователь по уровню;Quantizer by level;按级别量化
импульсная функция;Pulse function;脉冲功能
запоминание значения сигналов;Memorizing Signal Value;记住信号值
запоминание длительности истинного сигнал;Storing the duration of a true signal;存储真实信号的持续时间
ограничитель;Limiter;限制器
задержка на шаг интегрирования;Delay on the integration step;集成步骤延迟
релейное с переменными зн и зв;Relay with variables ZN and Z;带有变量 ZN 和 Z 的继电器
релейное плюс с переменными зн и зв;Relay Plus with ZN and ZV Variable;带 ZN 和 ZV 变量的继电器 Plus
