Источники   ;   Sources   ;   来源
Операторы   ;   Operators   ;   运营商
Векторные   ;   Vectors   ;   向量
Субструктуры   ;   Substructures   ;   下部结构
Сигналы   ;   Signals   ;   信号
Вывод данных   ;   Output of data   ;   数据输出
Анализ и оптимизация   ;   Analysis and optimization   ;   分析与优化
Функции   ;   Functions   ;   功能
Нелинейные   ;   Nonlinear   ;   非线性
Интерполяция   ;   Interpolation   ;   插值法
Динамические   ;   Dynamic   ;   动态的
Ключи   ;   Keys   ;   按键
Логические   ;   Logical elements   ;   逻辑要素
Триггеры   ;   Triggers   ;   触发器
Задержки и импульсы   ;   Delays and impulses   ;   延迟和冲动
Конечные автоматы   ;   Finite-state machines   ;   有限状态机
Релейные   ;   Relay   ;   中继
Дискретные   ;   Discrete   ;   离散的
Статистика   ;   Statistics   ;   统计数据
Обработка сигналов   ;   Signal Processing   ;   信号处理
Кинетика нейтронов   ;   Neutron kinetics   ;   中子动力学
Свойства веществ   ;   Properties of substances   ;   物质的性质
Распределённые СЛАУ   ;   Distributed LAE   ;   分布式LAE
Нм   ;   Nm   ;   纳米
Вб   ;   Vb   ;   伏
АД   ;   ASM   ;   先进制造商
(нас)   ;   (sat)   ;   （星期六）
Значение y(t)   ;   y(t) value   ;   y(t) 值
Время t, с   ;   Time t, s   ;   时间 t, s
Фазное 360В 47 Гц   ;   Phase 360V 47 Hz   ;   相数360V 47赫兹
Поток ротора   ;   Rotor flux   ;   转子磁通
ИНВ   ;   INV   ;   INV
График 2   ;   Chart 2   ;   图2
График 3   ;   Chart 3   ;   图3
ФСМ   ;   FSM   ;   有限状态机
нас   ;   sat   ;   坐
red   ;   red   ;   红色的
Маски   ;   Masks   ;   面具
Механика   ;   Mechanics   ;   力学
Баллистика КА   ;   Ballistics of the spacecraft   ;   航天器的弹道学
Динамика ЛА   ;   Dynamics of aircraft   ;   飞机动力学
Электроприводы   ;   Electric drives   ;   电力驱动
Гидро и пневмосиситемы   ;   Hydro and pneumatic systems   ;   液压和气动系统
Электроника (старая)   ;   Electronics (old)   ;   电子产品（旧）
Электромашины (старая)   ;   Electromachines (old)   ;   电机（旧）
Гидроавтоматика (старая)   ;   Hydraulics (old)   ;   液压系统（旧）
MILANDR К1986ВЕ92QI   ;   MILANDR K1986BE92QI   ;   米兰德 K1986BE92QI
Часы   ;   Clock   ;   钟
Шаг интегрирования   ;   Step of integration   ;   整合步骤
Константа   ;   Constant   ;   持续的
Линейный источник   ;   Linear source   ;   线性源
Ступенька   ;   Step   ;   步
Парабола   ;   Parabola   ;   抛物线
Полином n-й степени   ;   The nth degree polynomial   ;   n 次多项式
Синусоида   ;   Sinewave   ;   电影波
Экспонента   ;   Exhibitor   ;   参展商
Гипербола   ;   Hyperbola   ;   双曲线
Нормальный шум   ;   Normal noise   ;   正常噪音
Равномерный шум   ;   Even noise   ;   噪音均匀
Пила   ;   Saw   ;   锯
Обратная пила   ;   Back saw   ;   背锯
Кусочно линейная   ;   Piecewise linear   ;   分段线性
Кусочно постоянная   ;   Piecewise constant   ;   分段常数
Треугольный сигнал   ;   Triangular signal   ;   三角信号
Меандр   ;   Meander   ;   蜿蜒
Циклограмма   ;   Cyclogram   ;   环图
Управляемый синусоидальный генератор   ;   Managed Sine Wave Generator   ;   托管正弦波发生器
Из файла   ;   From file   ;   来自文件
Считывание строк из файла   ;   Reading lines from a file   ;   从文件中读取行
Таблица данных из файла   ;   Data table from file   ;   文件中的数据表
Сумматор   ;   Adder   ;   加法器
Сравнивающее устройтсво   ;   Comparison device   ;   比较装置
Перемножитель   ;   The multiplier   ;   乘数
Делитель   ;   Divider   ;   分频器
Усилитель   ;   Amplifier   ;   扩音器
Абсолютное значение   ;   Absolute value   ;   绝对值
Знак   ;   Sign   ;   符号
Интеграл от табличной функции   ;   Integral of the table function   ;   表函数的积分
Компенсация начального значения   ;   Initial Value Compensation   ;   初始值补偿
Нелинейное уравнение y = F(y)   ;   Nonlinear equation y = F (y)   ;   非线性方程 y=F(y)
Нелинейное уравнение F(y) = 0   ;   Nonlinear equation F (y) = 0   ;   非线性方程 F(y) = 0
Итератор модели   ;   Model iterator   ;   模型迭代器
Стоп-расчёт   ;   Stop-calculation   ;   停止计算
Линейный преобразователь   ;   Linear Converter   ;   线性转换器
Целая часть   ;   The whole part   ;   整个部分
Дробная часть   ;   Fraction   ;   分数
Округление   ;   Rounding   ;   四舍五入
Перевод радиан в градусы   ;   Translation of radians into degrees   ;   弧度转换为度数
Перевод градусов в радианы   ;   Converting degrees to radians   ;   将度数转换为弧度
Мультиплексор   ;   Multiplexer   ;   复用器
Демультиплексор   ;   Demultiplexer   ;   解复用器
Размножитель   ;   Breeder   ;   饲养员
Выборка из вектора   ;   Sample from vector   ;   来自向量的样本
Динамическая выборка   ;   Dynamic selection   ;   动态选择
Выборка по активному элементу   ;   Selection by Active Element   ;   按活动元素选择
Номер активного элемента   ;   Active element number   ;   活性元素数量
Векторный усилитель   ;   Vector amplifier   ;   矢量放大器
Сложение вектора с числом   ;   Addition of a vector with a number   ;   向量与数字的加法
Суммирование элементов вектора   ;   Summation of the elements of the vector   ;   向量元素的求和
Перемножение элементов вектора   ;   Multiplication of Vector Elements   ;   向量元素的乘法
Умножение вектора на число   ;   Multiplication of a vector by a number   ;   向量乘以数字
Деление скаляра на вектор   ;   Division of scalar by vector   ;   标量除以向量
Скалярное произведение векторов   ;   Scalar product of vectors   ;   向量的标量积
Распаковка матрицы   ;   Unpacking the matrix   ;   拆开矩阵的包装
Запаковка матрицы   ;   Matrix packing   ;   矩阵堆积
Умножение матрицы на вектор   ;   Multiplication of a matrix by a vector   ;   矩阵乘以向量
Транспонирование матрицы   ;   Transpose the matrix   ;   转置矩阵
Решение СЛАУ   ;   The SLAU solution   ;   SLAU解决方案
Матричные - Обратная матрица   ;   Matrix - Inverse matrix   ;   矩阵 - 逆矩阵
Матричные - Определитель матрицы   ;   Matrix - Matrix determinant   ;   矩阵 - 矩阵行列式
Матричные - Умножение матриц   ;   Matrix - Matrix multiplication   ;   矩阵 - 矩阵乘法
Матричные - Транспонирование матрицы произвольной размерности5   ;   Matrix - Transpose of a matrix of arbitrary dimension0   ;   矩阵 - 任意维度 0 的矩阵的转置
Матричные - Вычисление собственных чисел матрицы2   ;   Matrix - Calculating the eigenvalues of a matrix   ;   矩阵 - 计算矩阵的特征值
Матричные - След матрицы   ;   Matrix - Matrix trace5   ;   矩阵 - 矩阵trace5
Матричные - Поэлементное возведение матрицы в степень   ;   Matrix - Element-by-element matrix constructionZ   ;   矩阵 - 逐个元素的矩阵构造Z
Матричные - Объявление матрицы произвольной размерности, значения элеметов которой равны 0V   ;   Matrix - Announcement of a matrix of arbitrary dimension, whose element values are 0Z   ;   Matrix - 任意维度矩阵的公告，其元素值为 0Z
Матричные - Объявление матрицы произвольной размерности, значения элеметов которой равны 1n   ;   Matrix - Announcement of a matrix of arbitrary dimension, the values of the elements of which are equal to 1A   ;   矩阵 - 宣布任意维度的矩阵，其元素的值等于 1A
Матричные - Объявление единичной матрицы произвольной размерности   ;   Matrix - Announcement of a unit matrix of arbitrary dimension{   ;   矩阵 - 任意维度的单位矩阵的公布{
Матричные - Объявление единичной матрицы произвольной размерности с расположением ненулевых элементов на побочной диагонали   ;   Matrix - Announcement of a unit matrix of arbitrary dimension with the arrangement of non-zero elements on the secondary diagonal\   ;   矩阵 - 宣布任意维度的单位矩阵，在次对角线上排列非零元素\
Матричные - Объявление матрицы произвольной размерности c произвольными значениями элементов\   ;   Matrix - Announcement of a matrix of arbitrary dimension with arbitrary values of elements   ;   矩阵 - 具有任意元素值的任意维度的矩阵的公告
Субмодель   ;   Submodel   ;   子模型
Порт входа   ;   Input port   ;   输入端口
Порт выхода   ;   Output port   ;   输出端口
В память   ;   In memory   ;   记忆中
Из памяти   ;   From memory   ;   从记忆中
Переход на другой лист   ;   Switch to another sheet   ;   切换到另一张纸
Переход с другого листа   ;   Switch from another sheet   ;   从另一张纸切换
Двунаправленная шина (вход)   ;   Bidirectional bus (input)   ;   双向总线（输入）
Двунаправленная шина (выход)   ;   Bidirectional bus (output)   ;   双向总线（输出）
Уровень неподсоединённых портов   ;   Unconnected Ports   ;   未连接的端口
Блок записи свойств   ;   Block of recording properties   ;   记录属性块
Указатель сортировки   ;   Sorting Index   ;   排序索引
Условие выполнения субмодели   ;   Condition for the execution of the submodel   ;   子模型的执行条件
Отмена условного выполнения субмодели   ;   Cancel conditional execution of a submodel   ;   取消子模型的条件执行
Комментарий   ;   Comment   ;   评论
Заметка   ;   Note   ;   笔记
Контроль версии модели   ;   Model Version Control   ;   模型版本控制
Субмодель ТРР   ;   Submodel TPP   ;   子型号TPP
Порт входа ТРР   ;   TPP Input Port   ;   TPP 输入端口
Порт выхода ТРР   ;   TPP output port   ;   TPP输出端口
В память ТРР   ;   In memory of TPP   ;   纪念TPP
Из памяти TPP   ;   From TPP memory   ;   来自TPP记忆
Переход на другой лист ТРР   ;   Switch to another TPP sheet   ;   切换到另一张 TPP 板材
Переход с другого листа ТРР   ;   Transition from another TPP sheet   ;   从另一张 TPP 表格过渡
HS - Субмодель   ;   HS - Submodel   ;   HS - 子模型
HS - Порт входа   ;   HS - Input port   ;   HS——输入端口
HS - Порт выхода   ;   HS - Output port   ;   HS——输出端口
HS - Лист проекта   ;   HS - Project sheet   ;   HS - 项目表
HS - Переход на другой лист   ;   HS - Switch to another sheet   ;   HS - 切换到另一张纸
HS - Переход с другого листа   ;   HS - Switch from another sheet   ;   HS - 从另一张纸切换
HS - В память   ;   HS - In Memory   ;   HS--在记忆中
HS - Из памяти   ;   HS - From memory   ;   HS--凭记忆
Чтение из списка сигналов   ;   Reading from the list of signals   ;   从信号列表中读取
Запись в список сигналов   ;   Writing to the alarm list   ;   写入报警列表
Вход алгоритма   ;   Log of the algorithm   ;   算法的日志
Выход алгоритма   ;   Output of the algorithm   ;   算法的输出
Вход алгоритма (векторный)   ;   Input of the algorithm (vector)   ;   算法的输入（向量）
Выход алгоритма (векторный)   ;   Output of the algorithm (vector)   ;   算法的输出（向量）
Входной контакт   ;   Input contact   ;   输入接点
Выходной контакт   ;   Output contact   ;   输出接点
Датчик   ;   Sensor   ;   传感器
Временной график   ;   Graph of time   ;   时间图
Фазовый портрет   ;   Phase portrait   ;   相像
График Y от X   ;   Graph Y from X   ;   由 X 绘制 Y 图形
Трёхмерный график   ;   Three-dimensional graph   ;   三维图
В файл   ;   To file   ;   至文件
Вывод изображения с линии связи   ;   Output of the image from the communication line   ;   从通信线路输出图像
Оптимизатор   ;   Optimizer   ;   优化器
Построение передаточных функций   ;   Construction of transfer functions   ;   传递函数的构造
Построение частотных характеристик   ;   Constructing frequency characteristics   ;   构建频率特性
Годограф Михайлова   ;   Hodograph Mikhailova   ;   霍多夫·米哈伊洛娃
