с уточнением;with clarification
Оператор;Operator
события;events
пересечений;intersections
квантованием;quantization
уточнения;clarifications
тест;test
с;with
с уточнением;with clarification
Оператор;Operator
события;events
пересечений;intersections
квантованием;quantization
уточнения;clarifications
тест;test
с;with
аэродинамических;aerodynamic
сил и моментов;forces and moments
Вычисление;Calculation
a(H), м/с;a(H), m/s
Ro(H), кгс*см^2/м^4;Ro(H), kgf*cm^2/m^4
Углы движения;Motion angles
PSI, град;PSI, town
Угол рысканья;Yaw Angle
Угол скольжения;Sliding angle
УС;Water
ПУ;PU
Vп;Vp
ИК;IC
упрощеное;simplified
движение;movement
Боковое;Lateral
ЛА;LA
с уточнением;with clarification
Оператор;Operator
события;events
пересечений;intersections
квантованием;quantization
уточнения;clarifications
тест;test
с;with
аэродинамических;aerodynamic
сил и моментов;forces and moments
Вычисление;Calculation
a(H), м/с;a(H), m/s
Ro(H), кгс*см^2/м^4;Ro(H), kgf*cm^2/m^4
Углы движения;Motion angles
PSI, град;PSI, town
Угол рысканья;Yaw Angle
Угол скольжения;Sliding angle
УС;Water
ПУ;PU
Vп;Vp
ИК;IC
упрощеное;simplified
движение;movement
Боковое;Lateral
ЛА;LA
тока;current
положен.;laid down.
