угол;Corner;
угла;corner;
тока;current;
сумма входных;Amount of input;
синус;sinus;
сигналов;signals;
приёмник;Receiver;
пример использования ненаправленных связей для суммирования источников;An example of using undirected links to summarize sources;
положен.;laid down.;
о примере;About the example;
название графика 2;Chart title 2;
название графика 1;Chart title 1;
источник 2;Source 2;
источник 1;Source 1;
инв;INV;
значение y(t);y(t) value;
задание;Exercise;
заголовок графика;Graph title;
график красивый;beautiful graph;
время t, с;Time t, s;
ад;AD;
эффекта насыщения;saturation effect;
эталонная модель;Reference model;
эталонная;Reference;
эталон;Reference;
эрк;ERK;
эллипс;Ellipse;
элемента;element;
эксцесс;Excess;
экстраполяция синуса;Sine extrapolation;
экстраполируемый сигнал;Extrapolated signal;
эксперимент;Experiment;
эвольвента окружности;Involute of a circle;
эвольвента;Involute;
штатный регулятор питания (шрп) бс;Standard power regulator (SRP) BS;
штатного регулятора питания;standard power regulator;
шим, qq(x);SIM, qq(x);
шим (субмодель);SIM (submodel);
шаг, сек;Step, sec;
шаг, с;Step, s;
шаг интегрирования, сек;Integration step, sec;
шаг интегрирования, с;Integration step, s;
шаблон кода;Code template;
число стадий на шаге;Number of stages per step;
число стадий;Number of herds;
число переболевших;Number of recovered patients;
число инфицированных;Number of infected;
число восприимчивых;Number of susceptible;
численное решение;Numerical solution;
четырёхлепестковая роза;Four petal rose;
четырехлепестковая роза;Four petal rose;
частотные;Frequency;
частота среза, рад/сек;Cut frequency, work/sec;
частота среза;Cutoff frequency;
центры кластеров;Cluster centers;
центр масс;Center of mass;
целевая;Target;
ход винта, мм;Screw stroke, mm;
характеристики;characteristics;
х;X;
функция устойчивости;Stability function;
функция общего;general function;
функции устойчивости явных;Explicit stability functions;
функции устойчивости srk;SRK Stability Features;
функции принадлежности abc1;membership functions abc1;
функции принадлежности;membership functions;
функции по;functions by;
фрактал;Fractal;
фп 3;FP 3;
фп 2;FP 2;
фп 1;FP 1;
формула произведения;product formula;
формирование сигнала центра масс;Formation of the center of mass signal;
флаг пересечения;Intersection Flag;
фим;FIM;
фазовый портрет решения;Phase portrait of the solution;
фазовый портрет в плоскости z-y;Phase portrait in the Z-Y plane;
фазовый портрет в плоскости y-z;Phase portrait in the Y-Z plane;
фазовый портрет в плоскости x-z;Phase portrait in the X-Z plane;
фазовый портрет в плоскости x-y;Phase portrait in the X-Y plane;
фазовый портрет в координатах y-z;Phase portrait in Y-Z coordinates;
фазовый портрет в координатах x-z;Phase portrait in X-Z coordinates;
фазовый портрет в координатах x-y;Phase portrait in X-Y coordinates;
фазовый;Phase;
фазовая траектория;Phase trajectory;
фазовая плоскость;Phase plane;
фазовая;Phase;
участок;plot;
утечка;Leakage;
устройство адаптации;Adaptation device;
устройство;Device;
устойчивости;sustainability;
усиления;gain;
уровня;level;
уровней;levels;
уровень сигнала;Signal level;
уровень неподключенных портов;Unconnected port level;
уровень в бс;Level in BS;
уровень h, м;Level h, m;
уровень;Level;
уро;Him;
уравнения;Equations;
уравнений робертсона;Robertson's equations;
управляющее воздействие;Control action;
управляющее;Manager;
управляемый сигнал;Controlled signal;
управляемый;controlled;
управляемы синусоидальный генератор;Controlled sine wave generator;
управления;management;
управление шагом шим симметричный;Step control PWM symmetrical;
управление шагом шим;PWM step control;
упаковка матрицы по строкам;packing a matrix row by row;
упаковка и распаковка матриц;Packing and unpacking matrices;
улитка паскаля;Pascal's snail;
указатели сортировки;Sorting pointers;
угол, рад.;Angle, glad.;
угол поворота вала нагрузки;Load shaft rotation angle;
угол поворота вала двигателя;Motor shaft rotation angle;
угол поворота 1 тела;Angle of rotation of 1 body;
угол повората;rotation angle;
угол между 6 и 7 телами;Angle between 6 and 7 bodies;
угол между 5 и 6 телами;Angle between 5 and 6 bodies;
угол между 4 и 5 телами;Angle between 4 and 5 bodies;
угол между 3 и 4 телами;Angle between 3 and 4 bodies;
угол между 2 и 3 телами;Angle between 2 and 3 bodies;
угол между 1 и 2 телами;Angle between 1 and 2 bodies;
угол;Corner;
углы механизма;Mechanism angles;
угловая скорость редуктора;Gearbox angular speed;
угловая скорость двигателя;Motor angular speed;
увровень сигнала;Signal level;
тут должно быть 0.5 даже при наличии;There should be 0.5 here even if there is;
трудная задача;Tough task;
триггер d;Trigger D;
трехмерный фазовый портрет;3D phase portrait;
трехмерный;three-dimensional;
треугольного сигнала шим надо;triangle PWM signal is needed;
трассы;tracks;
трассе;highway;
траектория;trajectory;
точки;points;
точек;points;
то все неподсоединённые порты будут;then all unconnected ports will be;
типа 2 (нормальные полиномы);type 2 (normal polynomials);
типа 2 (геометрические полиномы);type 2 (geometric polynomials);
типа 1 (нормальные полиномы);type 1 (normal polynomials);
типа 1 (геометрические полиномы);type 1 (geometric polynomials);
тестовое;Test;
тест_скорости_схема;speed test diagram;
тест_скорости_dll;DLL speed test;
тест точности сброса интеграторов в;Integrator reset accuracy test;
тест сгенерированного кода.;test the generated code.;
тест сброса производной-загрузчик;Derivative-bootloader reset test;
тест сброса производной;Derivative reset test;
тест модели шим;Test models ŠIM;
тест кусочно - постоянной функции;Piecewise constant function test;
тест блока уточнения событий для шим.;Test of the event clarification block for PWM.;
тест ассоциирования;Association test;
теоретическое время;Theoretical time;
теоретическая вероятность успеха для 100 узников: ~31.183 %;Theoretical success rate for 100 prisoners: ~31.183%;
т-3;T-3;
схема сигнализации состояния;Status signaling circuit;
схема контроля исправности;Health monitoring circuit;
сумма;Sum;
суз;LONG;
субстанции через;substances through;
субстанции в;substances in;
структурная схема субмодели последовательного и параллельного;Block diagram of the serial and parallel submodel;
структурная схема пи-регулятора;Block diagram of a PI controller;
структурная схема дискретного пид-регулятора;Block diagram of a discrete PID controller;
структурная схема;Block diagram;
странный аттрактор лоренца;Lorentz strange attractor;
статистический анализ странного аттрактора лоренца;Statistical analysis of the Lorentz strange attractor;
стандартные полиномы;Standard polynomials;
стандартные модели тип2;Standard models type2;
стандартные модели тип1;Standard models type1;
стабилизированных методов рунге-кутты;stabilized Runge-Kutta methods;
среднее количество машин на участке трассы;Average number of cars on a section of the highway;
сравнения;comparisons;
сравнение частотных характеристик;Comparison of frequency characteristics;
сравнение типовых регуляторов;Comparison of typical regulators;
сравнение скорости;Speed ​​comparison;
сравнение переходных  процессов для эталонной и самонастраиваемой сар;Comparison of transient processes for reference and self-tuning ACS;
сравнение переходных;Comparison of transitional;
сравнение интерполяций;Comparison of interpolations;
сравнение;Comparison;
способы формирования шим сигнала;Methods for generating a PWM signal;
способ 2;Method 2;
способ 1;Method 1;
сплющиваемость;Flattening;
спираль корню;Cornu spiral;
спираль;Spiral;
спектр;Spectrum;
состояния светофоров;Traffic light states;
состояние насоса;Pump condition;
соединитель;connector;
события;events;
событие сброса;Reset event;
событие насос выкл;Pump off event;
событие насос вкл;Event pump on;
следящий привод с квантованием сигнала ошибки по времени и уровню;Servo drive with error signal quantization by time and level;
следящая система с шим сигнала ошибки - с детекцией + включено уточнение событий для блока дискретной экстраполяции;Tracking system with PWM error signal - with detection + event clarification enabled for the discrete extrapolation block;
следящая система с шим сигнала ошибки - с детекцией;Tracking system with PWM error signal - with detection;
следящая система с шим сигнала ошибки - референс;Servo system with PWM error signal - reference;
следящая система с шим сигнала ошибки - без детекции;Tracking system with PWM error signal - without detection;
следящая система с шим сигнала ошибки;Servo system with PWM error signal;
следящая система с шим - с блоком источника пилообразного сигнаала и уточнением по нему;Tracking system with PWM - with a sawtooth signal source block and clarification based on it;
слау;SLAU;
скорость, рад./с;Speed, rad/s;
скорость потока, м/с;Flow speed, m/s;
скорость потока;flow rate;
скорость вращения выходного вала;Output shaft rotation speed;
скорость вращения;rotation speed;
скорости на;speed at;
системы;systems;
система робертсона;Robertson's system;
система поддержания уровня воды в баке с алгоритмом упраления в dll;System for maintaining the water level in the tank with a control algorithm in dll;
система поддержания уровня воды в баке;System for maintaining the water level in the tank;
синусоиды;Sinusoids;
синусоидальный генератор;Sine wave generator;
синусоидальный;Sinusoidal;
синус с насыщением;Sine with saturation;
синус с;Sine s;
синус;Sinus;
симм.;sim.;
сигналы фим;PIM signals;
сигналы блоков;Block signals;
сигнала;signal;
сигнал шим;PWM signal;
сигнал упреждения события;Event pre-emption signal;
сигнал сброса;Reset signal;
сигнал ошибки, qq(x);Error signal, qq(x);
сигнал ошибки;Error signal;
сигнал;signal;
светофорный;Traffic light;
светофора -;traffic light -;
сброса;reset;
сброс состояния у дискретного интегратора;Resetting the state of a discrete integrator;
саэс-3. штатный регулятор питания бс.;SAES-3. Standard power regulator BS.;
самонастраиваемой сар;self-adjusting ACS;
с уточнением;with clarification;
с условием сброса по фронту при превышении 0;with a reset condition on the edge when exceeding 0;
с теми же именами;with the same names;
с последующим инфицированием (единиц в день на 1 чел);with subsequent infection (units per day per person);
с компенсацией эффекта насыщения;with saturation compensation;
с дпт при независимом возбуждении с корректирующими устройствами;With DPT with independent excitation with corrective devices;
с дпт и редуктором;With DPT and gearbox;
с;with;
рёсслера;Rössler;
ручные ключи, надо нажимать;Manual keys, you have to press;
ручные;Manual;
ручной режим;Manual mode;
рп4-у;RP4-U;
рикитаке;Rikitake;
рзд-12;RZD-12;
решения для;solutions for;
решения;solutions;
решение через функцию встроенного языка программирования;Solution via built-in programming language function;
решение через блоки библиотеки;Solution through library blocks;
решение через блок решение слау (библиотека;Solution through the SLAE solution block (Library;
решение слау типовым блоком;Solution of SLAE using a standard block;
решение слау разными способами;Solving SLAEs in different ways;
решение системы тригонометрических уравнений;Solving a system of trigonometric equations;
решение системы;System solution;
решение на 2-м периоде;Decision in the 2nd period;
